id,nombre,anio,cuatrimestre,estado,nota
1,INTRODUCCIÓN A LOS ALGORITMOS Y LA PROGRAMACIÓN,1,1,Aprobada,4
2,ARQUITECTURA DE COMPUTADORAS I,1,1,Aprobada,8
3,ÁLGEBRA Y GEOMETRÍA ANALÍTICA,1,1,Pendiente,0
4,PROBLEMÁTICA DEL MUNDO ACTUAL,1,1,Pendiente,0
5,INGLÉS I,1,1,Pendiente,0
6,ARQUITECTURA DE COMPUTADORAS II,1,2,Aprobada,4
7,CÁLCULO INFINITESIMAL I,1,2,Pendiente,0
8,HISTORIA DE LA CIENCIA Y DE LA TÉCNICA,1,2,Pendiente,0
9,INGLÉS II,1,2,Pendiente,0
10,PROGRAMACIÓN Y ESTRUCTURAS DE DATOS,1,2,Pendiente,0
11,PROGRAMACIÓN ORIENTADA A OBJETOS,2,1,Pendiente,0
12,ANÁLISIS Y DISEÑO DE SISTEMAS I,2,1,Pendiente,0
13,CÁLCULO INFINITESIMAL II,2,1,Pendiente,0
14,INGLÉS III,2,1,Pendiente,0
15,SISTEMAS OPERATIVOS,2,1,Pendiente,0
16,ANÁLISIS DE PROCESOS ADMINISTRATIVOS,2,1,Pendiente,0
17,ANÁLISIS Y DISEÑO DE SISTEMAS II,2,2,Pendiente,0
18,FÍSICA I,2,2,Pendiente,0
19,PROBABILIDAD Y ESTADÍSTICA,2,2,Pendiente,0
20,INGLÉS IV,2,2,Pendiente,0
21,INGENIERÍA DE REQUERIMIENTOS,2,2,Pendiente,0
22,DESARROLLO Y ARQUITECTURA DE SOFTWARE,2,2,Pendiente,0
23,ANÁLISIS Y DISEÑO DE SISTEMAS III,3,1,Pendiente,0
24,BASE DE DATOS,3,1,Pendiente,0
25,TECNOLOGÍA DE LAS COMUNICACIONES I,3,1,Pendiente,0
26,FÍSICA II,3,1,Pendiente,0
27,INGENIERÍA DE SOFTWARE,3,1,Pendiente,0
28,EXPERIENCIAS FORMATIVAS OBLIGATORIAS DE CARÁCTER ELECTIVO,3,2,Pendiente,0
29,TECNOLOGÍA DE LAS COMUNICACIONES II,3,2,Pendiente,0
30,MATEMÁTICA DISCRETA Y AUTÓMATAS,3,2,Pendiente,0
31,BASES DE DATOS APLICADA,3,2,Pendiente,0
32,TRABAJO DE DIPLOMA,3,2,Pendiente,0
33,METODOLOGÍAS ÁGILES,4,1,Pendiente,0
34,ORGANIZACIÓN Y GESTIÓN EMPRESARIA,4,1,Pendiente,0
35,BASES DE DATOS AVANZADA,4,1,Pendiente,0
36,DESARROLLO Y ARQUITECTURAS WEB,4,1,Pendiente,0
37,EXPERIENCIAS FORMATIVAS OBLIGATORIAS DE CARÁCTER ELECTIVO,4,1,Pendiente,0
38,ADMINISTRACIÓN DE PROYECTOS,4,2,Pendiente,0
39,PLANIFICACIÓN ESTRATÉGICA,4,2,Pendiente,0
40,INTELIGENCIA ARTIFICIAL,4,2,Pendiente,0
41,METODOLOGÍAS Y DESARROLLOS WEB,4,2,Pendiente,0
42,ELECTROMAGNETISMO I,4,2,Pendiente,0
43,SISTEMA DE HARDWARE,5,1,Pendiente,0
44,MODELIZACIÓN NUMÉRICA,5,1,Pendiente,0
45,ELECTROMAGNETISMO II,5,1,Pendiente,0
46,PRÁCTICA PROFESIONAL SUPERVISADA,5,1,Pendiente,0
47,SEMINARIO DE TRABAJO FINAL DE INGENIERÍA,5,1,Pendiente,0
48,AUDITORIA DE SISTEMAS,5,2,Pendiente,0
49,REDES Y TELEPROCESAMIENTO,5,2,Pendiente,0
50,SEGURIDAD INFORMÁTICA,5,2,Pendiente,0
51,TRABAJO FINAL DE INGENIERÍA,5,2,Pendiente,0
